panel,outcome,parameter,beta,OR,OR_ci_95_low,OR_ci_95_high,p_value,significant,n_total,n_positive
mri_only,AD_vs_CN,Intercept,-5.985962,0.0025,0.0002,0.0385,<0.001,True,923,115
mri_only,AD_vs_CN,C(sex)[T.M],0.624653,1.8676,1.1573,3.0137,0.011,True,923,115
mri_only,AD_vs_CN,stage,0.669711,1.9537,1.7305,2.2057,<0.001,True,923,115
mri_only,AD_vs_CN,age_at_baseline,0.067228,1.0695,1.0376,1.1025,<0.001,True,923,115
mri_only,AD_vs_CN,education_years,-0.166407,0.8467,0.7744,0.9257,<0.001,True,923,115
mri_only,Impaired_vs_CN,Intercept,-6.097577,0.0022,0.0002,0.0203,<0.001,True,990,182
mri_only,Impaired_vs_CN,C(sex)[T.M],0.505167,1.6573,1.1313,2.4278,0.010,True,990,182
mri_only,Impaired_vs_CN,stage,0.555891,1.7435,1.5809,1.9228,<0.001,True,990,182
mri_only,Impaired_vs_CN,age_at_baseline,0.072344,1.075,1.0487,1.102,<0.001,True,990,182
mri_only,Impaired_vs_CN,education_years,-0.124453,0.883,0.8221,0.9484,<0.001,True,990,182
mri_amyloid,AD_vs_CN,Intercept,-3.948744,0.0193,0.0002,1.9257,0.093,False,612,38
mri_amyloid,AD_vs_CN,C(sex)[T.M],0.794125,2.2125,0.9706,5.0432,0.059,False,612,38
mri_amyloid,AD_vs_CN,stage,0.798468,2.2221,1.7772,2.7784,<0.001,True,612,38
mri_amyloid,AD_vs_CN,age_at_baseline,0.032719,1.0333,0.9802,1.0892,0.224,False,612,38
mri_amyloid,AD_vs_CN,education_years,-0.25809,0.7725,0.6639,0.8989,<0.001,True,612,38
mri_amyloid,Impaired_vs_CN,Intercept,-5.738376,0.0032,0.0001,0.0821,<0.001,True,649,75
mri_amyloid,Impaired_vs_CN,C(sex)[T.M],0.306292,1.3584,0.7706,2.3946,0.290,False,649,75
mri_amyloid,Impaired_vs_CN,stage,0.544774,1.7242,1.4984,1.9841,<0.001,True,649,75
mri_amyloid,Impaired_vs_CN,age_at_baseline,0.05721,1.0589,1.0202,1.099,0.003,True,649,75
mri_amyloid,Impaired_vs_CN,education_years,-0.127654,0.8802,0.7924,0.9776,0.017,True,649,75
